 ,Area,X,Y,Perim.
234,146,2676.596,3501.390,49.113
235,39,2757.705,3496.115,22.385
236,1,3787.500,3492.500,2.828
237,6,3790.000,3497.000,9.657
238,237,2585.352,3516.209,61.698
239,532,3123.914,3524.957,88.326
240,11,3277.409,3522.864,11.071
241,334,3595.048,3532.641,71.255
242,28,3322.893,3534.786,19.899
243,250,3725.436,3549.764,66.083
244,18,2301.611,3550.111,15.314
245,22,3139.227,3552.227,17.899
246,37,2398.635,3564.311,22.142
247,18,3358.000,3566.278,14.485
248,124,4660.992,3580.992,50.284
249,3,5048.167,3574.500,7.657
250,347,2401.716,3593.088,79.941
251,33,2710.773,3585.379,20.728
252,355,3110.539,3597.444,71.355
253,65,1907.438,3590.392,34.385
254,7,2498.357,3594.643,10.485
255,364,2555.500,3608.835,74.426
256,163,3008.733,3608.224,49.113
257,108,2678.056,3609.213,39.456
258,144,1668.347,3612.319,53.941
259,5,4298.300,3607.300,8.485
260,42,4370.405,3609.548,27.314
261,39,3149.808,3613.423,22.971
262,11,3438.591,3611.864,11.071
263,18,4354.222,3612.444,16.728
264,120,3448.417,3623.225,48.527
265,310,3205.935,3629.561,69.355
266,190,2989.179,3625.911,51.698
267,19,3994.553,3631.289,15.899
268,1,4974.500,3650.500,2.828
269,72,2696.958,3658.986,31.799
270,196,3435.393,3665.459,55.113
271,186,3184.914,3672.081,60.426
272,135,2523.130,3675.256,42.870
273,33,2457.803,3671.561,20.728
274,18,2667.500,3679.000,15.657
275,100,2658.250,3684.710,37.456
276,14,3587.286,3684.214,13.314
277,40,2673.075,3693.325,26.971
278,42,2541.214,3700.000,23.314
279,15,3542.833,3700.500,15.556
280,11,3790.136,3707.409,12.485
281,4,3330.000,3712.000,5.657
282,76,3516.276,3725.566,38.870
283,299,2113.754,3736.236,68.184
284,9,2719.833,3753.611,9.899
285,246,3144.520,3764.699,57.012
286,21,3666.405,3763.310,16.728
287,3,3331.833,3781.833,5.657
288,23,3333.674,3791.065,19.314
289,76,4586.395,3794.447,34.971
290,36,2951.417,3797.694,24.971
291,255,3988.869,3818.884,65.255
292,3,3619.500,3809.500,6.828
293,204,4385.304,3824.534,56.527
294,66,3215.606,3818.636,31.213
295,25,3202.420,3823.340,18.971
296,19,3158.816,3825.447,16.728
297,12,3149.000,3828.500,13.899
298,298,2514.279,3840.379,67.941
299,5,3047.700,3830.900,7.657
300,193,3175.635,3849.070,59.012
301,260,3095.658,3852.923,66.426
302,210,1491.586,3853.705,58.770
303,5,3050.900,3848.300,7.657
